Job Title,Company,Salary,Address
Digital Marketing/ Google Ads Marketing (Thu Nhập Từ 15-20 Triệu),CÔNG TY CỔ PHẦN BỆNH VIỆN ĐỨC PHÚC,15 - 20 triệu VND,Hà Nội
Kỹ Sư Phát Triển Phần Mềm,Trường Đại học CMC,thoả thuận,Hà Nội
GẤPTrưởng Phòng Nghiên Cứu Và Phát Triển [Hà Nội] - Thu Nhập Cạnh Tranh Từ 25Tr+++,Công ty cổ phần tư vấn và xây dựng KM Việt Nam,25 triệu VND,Hà Nội
Giáo Viên Toán Tại 150 Tôn Đức Thắng, Hà Nội - Thu Nhập Hấp Dẫn - Đi Làm Ngay,Công ty TNHH Tư vấn giải pháp Giáo dục và Đào tạo Minh Hoàng,12 triệu VND,Hà Nội
IT Comtor Tiếng Nhật (N1/N2) - Upto 25 Triệu/Tháng Tại Hà Nội,Beetechsoft,25 triệu VND,Hà Nội
Kỹ Sư Vận Hành Và Bảo Trì Phần Mềm Tại Hà Nội (Lương Upto 40 Triệu),Công ty cổ phần sở giao dịch hàng hóa Việt Nam toàn cầu,40 triệu VND,Hà Nội
Chuyên Viên Kiểm Thử Bảo Mật (Pentester),FPT IS,20 triệu VND,Hà Nội
Kỹ Sư Triển Khai Mạng - Bảo Mật - Tại Hà Nội - Thu Nhập Hấp Dẫn,FPT IS,thoả thuận,Hà Nội
Mid Fullstack (Vue.Js , Laravel, C#) - Tại Hồ Chí Minh - Thu Nhập 15 - 30 Triệu,CÔNG TY TNHH ISB VIỆT NAM,15 - 30 triệu VND,Hồ Chí Minh
TOPKỹ Sư Điện - Điện Tử Hàng Không,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,thoả thuận,Hà Nội
TOPProduct Owner/ Business Analyst ( Lương Up To 35 Triệu/ Tháng),EDUPIA,35 triệu VND,Hà Nội
Kỹ Sư Hệ Thống (System Admin) - Tại Hà Nội - Lương Thưởng Hấp Dẫn,Công ty Cổ phần Phát triển Nguồn mở và Dịch Vụ FDS,thoả thuận,Hà Nội
Giáo Viên Tin Học (Nhà Bè, Bình Chánh, Thủ Đức),CÔNG TY CỔ PHẦN TRUNG TÂM ANH NGỮ GEMS,12 triệu VND,Hồ Chí Minh
System Engineer Leader/ Trưởng Nhóm Kỹ Sư Hệ Thống Tại Hà Nội (Lương 16 - 19 Triệu),CÔNG TY TNHH GIẢI PHÁP VÀ CÔNG NGHỆ TOTHOST,16 - 19 triệu VND,Hà Nội
Phụ Trách Phát Triển Chương Trình Kiêm Giảng Viên Công Nghệ Thông Tin/ Khoa Học Máy Tính (Thu Nhập Upto 50 Triệu),Trường Đại học CMC,50 triệu VND,Hà Nội
DevOps Engineer (Thu Nhập Upto 35 Triệu),Công ty Đấu giá Hợp danh Việt Nam,20 - 35 triệu VND,Hà Nội
Chuyên Viên/ Chuyên Gia Quản Trị Cơ Sở Dữ Liệu (DBA) - Tại Hà Nội,Công Ty Tài Chính Cổ Phần Tín Việt,thoả thuận,Hà Nội
Nhân Viên Software - Đi Làm Ngay - Thu Nhập Từ 12 - 25 Triệu / Tháng,Công ty TNHH KMW Việt Nam,12 - 25 triệu VND,Hà Nam & 2 nơi khác
Middle Fullstack Engineer (PHP/React/TypeScript),CÔNG TY TNHH THƯƠNG MẠI ĐIỆN TỬ GOBUY VIỆT NAM,thoả thuận,Hồ Chí Minh
Software Customer Support (Night Shift - English),CÔNG TY TNHH IDENTALSOFT VIỆT NAM,10 - 15 triệu VND,Hồ Chí Minh
Nhân Viên Marketing Tổng Hợp - Từ 2 Năm Kinh Nghiệm - Thu Nhập 13 Triệu/Tháng - Hà Nội,CÔNG TY TNHH PGCOM GROUP,10 - 13 triệu VND,Hà Nội
Nhân Viên Kinh Doanh Phần Mềm B2B -  Lương Cứng Từ 13 Triệu - 20 Triệu,Công ty Cổ phần Dịch vụ IERP,13 - 20 triệu VND,Hà Nội
HOTChuyên Viên Kỹ Thuật SCTV - Tốt Nghiệp Từ Trung Cấp (Không Yêu Cầu Kinh Nghiệm),CHI NHÁNH 2 - CÔNG TY TNHH TRUYỀN HÌNH CÁP SAIGONTOURIST,7 - 11 triệu VND,Hồ Chí Minh
Marketing Manager/Trưởng Phòng Marketing, 20 - 30 Triệu, Nghỉ T7 & CN - Đi Làm Ngay,CÔNG TY TNHH CNV HOLDINGS,20 - 30 triệu VND,Hồ Chí Minh
GẤPChuyên Viên Xử Lý Dữ Liệu - Data Processing Officer Upto 12M,Công ty Cổ phần Finpath,12 triệu VND,Hà Nội
Customer Support Engineer (IT),Công ty TNHH ITECHWX,18 - 24 triệu VND,Hồ Chí Minh
GẤPNhân Viên Marketing Tổ Chức Sự Kiện,Công Ty Cổ Phần Tập Đoàn Babylons,10 - 15 triệu VND,Hà Nội
Java Developer (Mid/Senior Level) - Quận 11 - Đi Làm Ngay,Công ty TNHH Concentrix Service Vietnam,thoả thuận,Hồ Chí Minh
Nhân Viên Thiết Kế Web - Web Designer - Quận 11,Công ty TNHH Concentrix Service Vietnam,thoả thuận,Hồ Chí Minh
Back-End Developer (Fresher - Junior),CÔNG TY TNHH EAERA VIỆT NAM,400 - 900 triệu VND,Hà Nội
Fresher Game Designer,Công ty TNHH BraveZone,8 - 15 triệu VND,Hà Nội
"GẤPChuyên Viên SEO Marketing (Thu Nhập Upto 1000$),Công ty Cổ phần MISA,""1,000 usd"",Hà Nội"
Lập Trình Viên Senior / Lập Trình Viên Flutter/ Develop_ DEV (Mức Lương Upto 45 Triệu),CÔNG TY CỔ PHẦN PHẦN MỀM SEASHORE,30 - 45 triệu VND,Hà Nội
GẤPGiáo Viên/Trợ Giảng Tin Học  - Tại TP. Hồ Chí Minh (Không Yêu Cầu Kinh Nghiệm, Đã Tốt Nghiệp Đại Học Ngành CNTT),CÔNG TY TNHH TƯ VẤN & ĐÀO TẠO ĐẠI DƯƠNG,8 - 20 triệu VND,Hồ Chí Minh
GẤPKĩ Sư Công Nghệ Thông Tin- Software Engineer Tại Hà Nội,CÔNG TY CỔ PHẦN THIẾT BỊ CÔNG NGHIỆP VÀ CHUYỂN GIAO CÔNG NGHỆ VIỆT THẮNG,thoả thuận,Hà Nội
HOTKỹ Sư Lập Trình Nhúng Tại Hà Nội,CÔNG TY CỔ PHẦN THIẾT BỊ CÔNG NGHIỆP VÀ CHUYỂN GIAO CÔNG NGHỆ VIỆT THẮNG,thoả thuận,Hà Nội
GẤPLập Trình Viên .Net (Construction IT), Thu Nhập 12 - 24 Triệu/Tháng,Công ty TNHH Thiết kế T&T,12 - 24 triệu VND,Hà Nội
Nhân Viên Marketing (Thu Nhập Upto 20M+),Công ty Cổ phần MISA,thoả thuận,Hà Nội
Chuyên Viên Tư Vấn Thanh Toán POS (Fintech) - Thu Nhập 15 - 50tr ++, Thưởng Bonus Hấp Dẫn, Đi Làm Ngay,CÔNG TY CỔ PHẦN DIGITAL PAYMENT VIỆT NAM,15 - 50 triệu VND,Hà Nội & 2 nơi khác
Nhân Viên IT - Kỹ Thuật ELV – Kỹ Thuật Tòa Nhà Thu Nhập Từ 10 Đến 13 Triệu Tại Hà Nội,CÔNG TY CỔ PHẦN TÂN PHÚ LONG,10 - 13 triệu VND,Hà Nội
Nhân Viên Facebook Support/ Marketing Ads - Lương Upto 30 Triệu - Đi Làm Ngay,CÔNG TY TNHH SONET AGC,10 - 30 triệu VND,Hà Nội
GẤPNhân Viên Kinh Doanh Phần Mềm (Sale B2B) - Thu Nhập Hấp Dẫn,Công Ty Cổ Phần LOT,12 - 20 triệu VND,Hồ Chí Minh
GẤPNhân Viên Kinh Doanh Dịch Vụ Viễn Thông 1 Năm Kinh Nghiệm Thu Nhập 10M - 25M /Tháng,Công ty TNHH Viễn Thông IPN,10 - 25 triệu VND,Hà Nội
Fresher Automation Test - Trợ Cấp Lên Đến 8M/Tháng,FPT Software,6 - 8 triệu VND,Hà Nội
Customer Support App Shopify (IT Support), Lương 8-12M + Thưởng Up To 20M, Học IT Và Tiếng Anh 550 Toeic (Full Time, Có Remote),CÔNG TY CỔ PHẦN DỊCH VỤ VÀ PHÁT TRIỂN CÔNG NGHỆ BEAE VIỆT NAM,20 triệu VND,Hà Nội
Dynamics 365 Support Engineer (Open For Freshers),Công ty TNHH ITECHWX,20 - 26 triệu VND,Hồ Chí Minh
Data Engineer (DBA),Công Ty TNHH LG CNS VIỆT NAM,thoả thuận,Hà Nội
Frontend Developer (Vuejs, Lương Từ 14-22 Triệu, Từ 2 Năm Kinh Nghiệm),CÔNG TY CỔ PHẦN DỊCH VỤ VÀ PHÁT TRIỂN CÔNG NGHỆ BEAE VIỆT NAM,14 - 22 triệu VND,Hà Nội
Back End Developer (Java, MySQL, Spring) - Tại Hà Nội - Thu Nhập Hấp Dẫn,Công Ty TNHH LG CNS VIỆT NAM,thoả thuận,Hà Nội
Chuyên Viên Phân Tích Dữ Liệu (Data Analyst) - Thu Nhập Từ 15 -20 Triệu/ Tháng,CÔNG TY CỔ PHẦN DU LỊCH DỊCH VỤ THƯƠNG MẠI THIÊN PHÚ,15 - 20 triệu VND,Hà Nội
Fresher IOS (Swift, Objective C),Công ty CP Giải pháp Thanh toán Việt Nam (VNPAY),thoả thuận,Hà Nội
Senior Freelance UX/UI Designer 25 - 40 Triệu,CÔNG TY TNHH ARBIN INSTRUMENTS VIỆT NAM,25 - 40 triệu VND,Hồ Chí Minh
"Product & Growth Senior Manager - TP. HCM/Remote - Up To $3,000 + Stock Options,CÔNG TY TNHH TINAI TECHNOLOGIES,""1,500 - 3,000 usd"",""Hồ Chí Minh, Toàn Quốc"""
Nhân Viên Kinh Doanh B2B (Công Nghệ/Viễn Thông),Công Ty TNHH MTV Viễn Thông Quốc Tế FPT,thoả thuận,Hồ Chí Minh
UI Designer Lương 12-20M,Công ty TNHH Hivelab Vina,12 - 20 triệu VND,Hà Nội
GẤPPHP Developer (Middle),Công ty TNHH L.C.S,18 - 25 triệu VND,Hồ Chí Minh
Chuyên Viên Bảo Mật An Toàn Hệ Thống CNTT Tại Hà Nội/ Thu Nhập Cạnh Tranh Hấp Dẫn/ Nghỉ T7 + CN,CÔNG TY CỔ PHẦN THÔNG TIN TÍN DỤNG FINTECH VIỆT NAM,18 - 30 triệu VND,Hà Nội
Nhân Viên Seo Website (Thiết Bị Cơ Khí) Thu Nhập 8 - 15 Triệu (Hà Đông - Hà Nội),CÔNG TY CỔ PHẦN KỸ THUẬT VÀ CÔNG NGHỆ ĐỨC PHONG,8 - 15 triệu VND,Hà Nội
Data Entry Staff (Temporary) -  Tại Hồ Chí Minh,CÔNG TY CỔ PHẦN GIÁO DỤC QUỐC TẾ VIỆT ÚC,9 - 10 triệu VND,Hồ Chí Minh
Game Designer (Thu Nhập Lên Đến 30 Triệu) - Đi Làm Ngay,Công ty Cổ phần Titan Global,10 - 30 triệu VND,Hà Nội
HOTNhân Viên Kinh Doanh Thử Việc 100% Lương - Không Yêu Cầu Kinh Nghiệm - Thu Nhập 10-25M/Tháng,CÔNG TY CỔ PHẦN CÔNG NGHỆ SỐ THIÊN QUANG,10 - 25 triệu VND,Hà Nội
"Senior Java Developer– MSB - 1Y560,Ngân hàng TMCP Hàng Hải Việt Nam (MSB),""1,000 - 2,000 usd"",Hà Nội"
"Android Developer (Java/Kotlin, 1.5Yoe),""MARUSYS VINA CO.,LTD"",thoả thuận,Hà Nội"
Nhân Viên Tiếng Nhật,FPT Software Innovation Company  Limited,7 - 15 triệu VND,Hà Nội & 3 nơi khác
GẤPNhân Viên Digital Marketing Lĩnh Vực Du Học Tại Hà Nội (Kinh Nghiệm Từ 6 Tháng Trở Lên, Mức Lương Từ 10 - 15 Triệu),CÔNG TY TNHH GIÁO DỤC QUỐC TẾ LINCA VIỆT NAM,10 - 15 triệu VND,Hà Nội
Nhân Viên Xử Lý Dữ Liệu Tiếng Nhật (Làm Việc Tại Nhà, Thời Gian Linh Hoạt >4h/Ngày),FPT Software,8 - 12 triệu VND,Hà Nội
Giáo Viên Tin Học (Tại Hồ Chí Minh - Thu Nhập Đến 15 Triệu),CÔNG TY TNHH ĐÀO TẠO GIÁO DỤC NGUYỄN TRẦN,12 - 15 triệu VND,Hồ Chí Minh
GẤPIT Helpdesk Engineer/ IT Support/ Information Technology/ Công Nghệ Thông Tin CNTT Tại Hà Nội (Thu Nhập Hấp Dẫn),CÔNG TY TNHH THƯƠNG MẠI CÔNG NGHỆ THÁI BÌNH,thoả thuận,Hà Nội
"Kỹ Sư Cầu Nối Tiếng Nhật BrSE - Lương Upto 3000$ - Làm Việc Tại Hà Nội,công ty cổ phần Data Impact,""3,000 usd"",Hà Nội"
"HOTNhân Viên Seo Website Mảng Máy Móc Thiết Bị (Hà Nội, Hồ Chí Minh),công ty TNHH TMDV XNK Hải Minh,10 - 20 triệu VND,""Hà Nội, Hồ Chí Minh"""
Nhân Viên Kinh Doanh/ Sales Online Mảng Công Nghệ,CÔNG TY TNHH GIẢI PHÁP SEO & SEM,10 - 20 triệu VND,Hồ Chí Minh
Middle/Senior Java Developer (English, Up 2500$),CÔNG TY TNHH SOFTROAD,25 - 45 triệu VND,Hà Nội
Android Developer,CÔNG TY CỔ PHẦN CÔNG NGHỆ CAO CTECH,15 - 30 triệu VND,Hà Nội
Nhân Viên Xử Lý Dữ Liệu Hình Ảnh (Dán Nhãn Cho Dự Án AI) - Không Yêu Cầu Kinh Nghiệm,CÔNG TY TNHH AI DATASET,72 triệu VND,Hà Nội
"Mobile Developer (React Native) – 4C001,Ngân hàng TMCP Hàng Hải Việt Nam (MSB),""1,000 - 2,000 usd"",Hà Nội"
TOPKỹ Sư Lập Trình Backend Developer,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,thoả thuận,Hà Nội
TOPKỹ Sư Lập Trình Full Stack Developer,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,thoả thuận,Hà Nội
"Senior Tester (Automation/Manual) Upto 1500$ – MSB - 1Y561,Ngân hàng TMCP Hàng Hải Việt Nam (MSB),""1,000 - 1,500 usd"",Hà Nội"
Chuyên Viên Thiết Kế Đồ Họa- Thu Nhập 12- 18 Tháng- Tại Hà Đông,CÔNG TY CỔ PHẦN CÔNG NGHỆ GRANDX,12 - 18 triệu VND,Hà Nội
Fullstack Developer (Chuyên Java, Angular) - Từ 5 Năm Kinh Nghiệm,CÔNG TY TNHH GIẢI PHÁP CÔNG NGHỆ HÀNG ĐẦU,30 - 60 triệu VND,Hồ Chí Minh
"Salesforce CRM Developer - Tại Hà Nội - Thu Nhập Hấp Dẫn,CÔNG TY CỔ PHẦN SMARTOSC,thoả thuận,""Hà Nội, Hồ Chí Minh"""
Senior Business Analyst - Domain Banking - Thu Nhập Hấp Dẫn,CÔNG TY CỔ PHẦN SMARTOSC,thoả thuận,Hà Nội
